Name,Category,Rating,Flickable,Episode Number,Notes
Zoolander 2,Movie,7.0,Yes,10,The very first flickin!
Dope,Movie,8.5,Yes,11,
The Big Short,Movie,8.0,Yes,12,Gary had to read Caelan's notes since Caelan had a mouth issue
Deadpool,Movie,10.0,Yes,13,
Vinyl,TV Show,7.5,Yes,15,
The Martian,Movie,8.0,Yes,17,
Seinfeld,TV Show,10.0,Yes,18,"Not formally flicked; Somebody randomly asked Caelan for the score on the fly, which he provided but did not formally mention if it was flickable; in a much later episode elaborates that it is indeed flickable"
Hardcore Henry,Movie,7.5,Yes,19,
The entire Harry Potter series,Movie,8.0,Yes,20,"*All movies are Flickable except for the second to last, which is unflickable"
Free socks from Taylor in Florida,Other,7.0,Yes,20,
Animaniacs,TV Show,5.0,No,21,First ever lightning round!
San Andreas,Movie,4.0,No,21,Had not actually seen the movie when he made this review.
Hockey,Other,8.5,Yes,21,
Tonsil Hockey,Other,0.0,No,21,Did not know what this was but stuck to this score even after learning it's real meaning
Jelly Beans,Food,5.0,No,21,
Terminator,Movie,10.0,No,21,"Acknowledges it is a great movie, but doesn't like watching his dad have sex"
The United Kingdom,Other,9.0,Yes,21,
Black Starbucks Coffee,Food,1.0,No,21,
Beans,Food,10.0,Yes,21,Forgot he had just rated jelly beans as lower than 10 but stuck with this verdict anyway
Game of Thrones S06E01,TV Show,9.5,No,21,
All you can eat buffet at Dodger Stadium,Food,10.0,Yes,21,"Claims is ""unofficial"" because he hasn't tried it,"
WWE,TV Show,5.0,Yes,22,Start of second lightning round!
Nick Davis eating wings very quickly,Other,9.0,No,22,
Guys who recently got married and won't stop talking about it,Other,,Yes,22,Probably in reference to Matt's recent wedding; didn't give a formal score
Big fake butts,Other,10.0,Yes,22,Interestingly prefers boobs over butts
Peanut butter and jelly beer,Food,7.0,Yes,22,
"Gary's mom, Laura Lee",Person,9.0,No,22,This is the episode Laura Lee called into for Mother's Day
Captain America: Civil War,Movie,8.0,Yes,23,
Captain Hook,Other,9.0,Yes,23,Another lightning round begins
Cap'n Crunch,Food,4.0,No,23,
Captain Jack by Billy Joel,Other,5.0,No,23,Admittedly does not know what this is and rated it anyway
Captain Morgan,Food,9.5,Yes,23,
Captain Kirk,Other,7.0,No,23,
