movie_name,biehn_scale_rating,biehn_yes_or_no,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score,primary_genre_Comedy,primary_genre_Crime,primary_genre_Action,primary_genre_Drama,primary_genre_Adventure,primary_genre_Documentary,primary_genre_Family,primary_genre_Western,primary_genre_Horror,primary_genre_Mystery,primary_genre_Thriller,primary_genre_War,primary_genre_Science Fiction,primary_genre_Music,primary_genre_Animation,primary_genre_nan,primary_genre_Fantasy,secondary_genre_nan,secondary_genre_Drama,secondary_genre_Adventure,secondary_genre_Science Fiction,secondary_genre_Action,secondary_genre_Family,secondary_genre_History,secondary_genre_Animation,secondary_genre_Crime,secondary_genre_Thriller,secondary_genre_Horror,secondary_genre_Fantasy,secondary_genre_Mystery,secondary_genre_Comedy,secondary_genre_Romance,secondary_genre_Music,movie_age
Zoolander 2,7.0,1,50000000,55969000,100,4.8,1788,4.7,67478.0,2016.0,22,34.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Dope,8.5,1,700000,17986781,103,7.1,1190,7.2,83142.0,2015.0,88,72.0,83.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
The Big Short,8.0,1,28000000,133346506,131,7.3,7026,7.8,395829.0,2015.0,89,81.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Deadpool,10.0,1,58000000,783100000,108,7.6,25805,8.0,960086.0,2016.0,85,65.0,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
The Martian,8.0,1,108000000,630161890,144,7.7,16305,8.0,803733.0,2015.0,91,80.0,91.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Hardcore Henry,7.5,1,10000000,14333790,97,6.3,1815,6.7,91839.0,2015.0,51,51.0,54.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
San Andreas,4.0,0,110000000,473990832,114,6.2,6890,6.1,226202.0,2015.0,49,43.0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Terminator,10.0,0,200000000,371353001,115,6.0,5137,6.5,352551.0,2009.0,33,49.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
Captain America: Civil War,8.0,1,250000000,1153296293,147,7.4,18880,7.8,718368.0,2016.0,90,75.0,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
All the Way,9.5,1,60000000,129832389,89,5.9,1924,5.6,97279.0,1996.0,17,34.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.0
The Man from U.N.C.L.E.,7.5,1,75000000,108145109,116,7.1,5029,7.3,292999.0,2015.0,68,56.0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
Chef,9.0,1,11000000,45967935,114,7.1,2544,7.3,207404.0,2014.0,87,68.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
Independence Day: Resurgence,3.0,1,165000000,389681935,120,5.2,5066,5.2,173742.0,2016.0,30,32.0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Suicide Squad,4.0,1,180000000,167381210,132,7.8,4833,7.3,251448.0,2021.0,59,72.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve Jobs,7.5,1,30000000,34441873,122,6.8,3467,7.2,163512.0,2015.0,85,82.0,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
Tickled,8.0,1,0,923000,92,7.3,300,7.5,17763.0,2016.0,94,76.0,86.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Arrival,8.5,1,47000000,203388186,116,7.6,14415,7.9,647616.0,2016.0,94,81.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
The Jungle Book,9.5,1,4000000,205843612,78,7.3,5056,7.6,173954.0,1967.0,88,65.0,59.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.0
Why Him,8.0,1,38000000,118102725,111,6.3,3408,6.2,107259.0,2016.0,39,39.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Office Christmas Party,7.0,1,45000000,114501299,105,5.6,1649,5.9,73957.0,2016.0,41,42.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Assassin's Creed,1.5,0,125000000,240697856,115,5.4,6571,5.7,193301.0,2016.0,18,36.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Sing,6.0,1,75000000,634151679,108,7.1,6310,7.1,144723.0,2016.0,71,59.0,72.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
Hell or High Water,7.0,1,12000000,37589296,102,7.3,3523,7.6,216534.0,2016.0,96,88.0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
Logan,9.0,1,97000000,619021436,137,7.8,16235,8.1,697494.0,2017.0,94,77.0,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Alien: Covenant,8.0,1,97000000,232380243,122,6.0,6779,6.4,268105.0,2017.0,65,65.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
