movie_name,biehn_scale_rating,biehn_yes_or_no
Zoolander 2,7.0,Yes
Dope,8.5,Yes
The Big Short,8.0,Yes
Deadpool,10.0,Yes
The Martian,8.0,Yes
Hardcore Henry,7.5,Yes
San Andreas,4.0,No
Terminator,10.0,No
Captain America: Civil War,8.0,Yes
All the Way,9.5,Yes
The Man from U.N.C.L.E.,7.5,Yes
Chef,9.0,Yes
Independence Day: Resurgence,3.0,Yes
Suicide Squad,4.0,Yes
Steve Jobs,7.5,Yes
Tickled,8.0,Yes
Arrival,8.5,Yes
The Jungle Book,9.5,Yes
Why Him,8.0,Yes
Office Christmas Party,7.0,Yes
Assassin's Creed,1.5,No
Sing,6.0,Yes
Hell or High Water,7.0,Yes
Logan,9.0,Yes
Alien: Covenant,8.0,Yes
Spider-Man: Homecoming,7.0,Yes
The Belko Experiment,7.0,Yes
"Guardians of the Galaxy, Vol. 2",4.5,No
Get Out,9.5,Yes
Don't Breathe,8.0,Yes
Hannah,8.5,Yes
Dunkirk,8.5,Yes
Fantastic Beasts and Where to Find Them,7.0,Yes
Life,3.0,No
Imperium,7.0,Yes
Death Note,0.5,No
Little Evil,7.0,Yes
Gerald's Game,7.5,Yes
The Meyerowitz Stories,6.0,No
The Mist,7.0,Yes
Swingers,7.0,Yes
Schindler's List,8.0,Yes
The Darkest Hour,7.5,Yes
Three Billboards Outside Ebbing Missouri,6.5,No
Ladybird,5.0,Yes
Futile and Stupid Gesture,7.5,Yes
The Cloverfield Paradox,2.0,No
Black Panther,7.5,Yes
Ready Player One,7.5,Yes
A Quiet Place,9.0,Yes
Avengers: Infinity War,8.0,Yes
The Disaster Artist,9.5,Yes
Annihilation,3.0,No
Sicario Day of the Soldado ,5.0,Yes
Mission Impossible: Fallout,9.0,Yes
It Comes at Night,8.5,Yes
Hush,7.0,Yes
The Conjuring 2,6.5,Yes
Annabelle Creation,7.5,Yes
The Witch,8.0,Yes
The Ritual,6.0,No
Unbreakable,9.0,Yes
Patient Zero,5.0,No
Deadpool 2,8.0,Yes
Raw,6.0,No
Littlest Reich,6.5,Yes
Jigsaw,2.0,No
The Endless,5.0,No
Happy Death Day,7.5,Yes
Hereditary,9.5,Yes
Isle of Dogs,8.0,Yes
The Shape of Water,7.5,Yes
Hold the Dark,5.0,Yes
A Star is Born,9.0,Yes
You Were Never Really Here,5.0,No
Outlaw King,7.5,Yes
The Christmas Chronicles,8.0,Yes
Bohemian Rhapsody,8.0,Yes
Bandersnatch,9.6,Yes
Bird Box,7.5,Yes
Polar,5.2,Yes
Alita Battle Angel,8.6,Yes
Triple Frontier,4.7,No
The Dirt,6.9,Yes
The Highwaymen,3.0,No
The Silence,0.9,No
Avengers: Endgame,9.7,Yes
Pet Sematary,4.6,No
The Perfection,6.0,Yes
Bad Times at the El Royale,7.4,Yes
Rocketman ,9.3,Yes
Gone Baby Gone,8.0,Yes
Ad Astra,6.8,Yes
Joker,9.6,Yes
El Camino,6.1,Yes
Midsomer,3.2,No
The King,7.7,Yes
Midnight Family,6.1,Yes
The Hunt,3.5,No
The Invisible Man,8.1,Yes
The Platform,7.4,Yes
Edward Scissorhands,5.8,No
The Gentlemen,7.8,Yes
Kung Fu Hustle,8.9,Yes
Starship Troopers,9.4,Yes
Signs,6.6,Yes
21 Jump Street,8.0,Yes
Extraction,6.1,Yes
A Bronx Tale,8.6,Yes
Jumanji,9.7,Yes
Jumanji: Welcome to the Jungle,5.9,Yes
Jumanji: Next Level,3.0,No
Ready or Not,4.4,No
Crawl,7.5,Yes
Eurovision Song Contest: The Story of Fire Saga,5.3,Yes
The Old Guard,6.0,Yes
Scary Stories to Tell in the Dark,6.2,Yes
Palm Springs,8.9,Yes
Beverly Hills Ninja,8.6,Yes
The Girl Next Door,7.3,No
Talladega Nights: The Ballad of Ricky Bobby,8.9,Yes
Air Force One,,
