movie_name,imdb_id,biehn_scale_rating,biehn_yes_or_no,imdb_rating,imdb_votes,year
Zoolander 2,tt1608290,7.0,Yes,4.7,67400.0,2016
Dope,tt3850214,8.5,Yes,7.2,83082.0,2015
The Big Short,tt1596363,8.0,Yes,7.8,394922.0,2015
Deadpool,tt1431045,10.0,Yes,8.0,958041.0,2016
The Martian,tt3659388,8.0,Yes,8.0,802289.0,2015
Hardcore Henry,tt3072482,7.5,Yes,6.7,91744.0,2015
San Andreas,tt2126355,4.0,No,6.1,225794.0,2015
Terminator,tt0438488,10.0,No,6.5,352326.0,2009
Captain America: Civil War,tt3498820,8.0,Yes,7.8,716609.0,2016
All the Way,tt0116705,9.5,Yes,5.6,96903.0,1996
The Man from U.N.C.L.E.,tt1638355,7.5,Yes,7.3,292526.0,2015
Chef,tt2883512,9.0,Yes,7.3,207131.0,2014
Independence Day: Resurgence,tt1628841,3.0,Yes,5.2,173589.0,2016
Suicide Squad,tt6334354,4.0,Yes,7.3,244985.0,2021
Steve Jobs,tt2080374,7.5,Yes,7.2,163294.0,2015
Tickled,tt5278506,8.0,Yes,7.5,17736.0,2016
Arrival,tt2543164,8.5,Yes,7.9,645637.0,2016
The Jungle Book,tt0061852,9.5,Yes,7.6,173714.0,1967
Why Him,tt4501244,8.0,Yes,6.2,107067.0,2016
Office Christmas Party,tt1711525,7.0,Yes,5.9,73739.0,2016
Assassin's Creed,tt2094766,1.5,No,5.7,193109.0,2016
Sing,tt3470600,6.0,Yes,7.1,144357.0,2016
Hell or High Water,tt2582782,7.0,Yes,7.6,216177.0,2016
Logan,tt3315342,9.0,Yes,8.1,695874.0,2017
Alien: Covenant,tt2316204,8.0,Yes,6.4,267749.0,2017
Spider-Man: Homecoming,tt2250912,7.0,Yes,7.4,562624.0,2017
The Belko Experiment,tt1082807,7.0,Yes,6.1,48393.0,2016
"Guardians of the Galaxy, Vol. 2",tt3896198,4.5,No,7.6,617925.0,2017
Get Out,tt5052448,9.5,Yes,7.7,537602.0,2017
Don't Breathe,tt6246322,8.0,Yes,6.1,33876.0,2021
Hannah,tt1114677,8.5,Yes,4.6,41369.0,2009
Dunkirk,tt5013056,8.5,Yes,7.8,603158.0,2017
Fantastic Beasts and Where to Find Them,tt3183660,7.0,Yes,7.3,431670.0,2016
Life,tt0120623,3.0,No,7.2,279223.0,1998
Imperium,tt4781612,7.0,Yes,6.5,44502.0,2016
Death Note,tt1241317,0.5,No,4.4,81381.0,2017
Little Evil,tt2937366,7.0,Yes,5.7,20461.0,2017
Gerald's Game,tt3748172,7.5,Yes,6.5,100433.0,2017
The Meyerowitz Stories,tt5536736,6.0,No,6.9,46309.0,2017
The Mist,tt0884328,7.0,Yes,7.1,293317.0,2007
Swingers,tt0117802,7.0,Yes,7.2,79944.0,1996
Schindler's List,tt0108052,8.0,Yes,8.9,1275760.0,1993
The Darkest Hour,tt1093357,7.5,Yes,4.9,60041.0,2011
Three Billboards Outside Ebbing Missouri,tt5027774,6.5,No,8.1,470938.0,2017
Ladybird,tt0110296,5.0,Yes,7.4,3435.0,1994
Futile and Stupid Gesture,tt5566790,7.5,Yes,6.8,15097.0,2018
The Cloverfield Paradox,tt2548396,2.0,No,5.5,100783.0,2018
Black Panther,tt1825683,7.5,Yes,7.3,685175.0,2018
Ready Player One,tt1677720,7.5,Yes,7.4,402359.0,2018
A Quiet Place,tt8332922,9.0,Yes,7.3,173743.0,2020
Avengers: Infinity War,tt4154756,8.0,Yes,8.4,939556.0,2018
The Disaster Artist,tt3521126,9.5,Yes,7.3,146352.0,2017
Annihilation,tt2798920,3.0,No,6.8,301246.0,2018
Sicario Day of the Soldado ,tt5052474,5.0,Yes,7.1,137668.0,2018
Mission Impossible: Fallout,tt4912910,9.0,Yes,7.7,310486.0,2018
It Comes at Night,tt4695012,8.5,Yes,6.2,89459.0,2017
Hush,tt8752440,7.0,Yes,6.9,16628.0,2019
The Conjuring 2,tt3065204,6.5,Yes,7.3,252183.0,2016
Annabelle Creation,tt5140878,7.5,Yes,6.5,124787.0,2017
The Witch,tt0479997,8.0,Yes,5.4,92642.0,2011
The Ritual,tt5638642,6.0,No,6.3,88813.0,2017
Unbreakable,tt0217869,9.0,Yes,7.3,403044.0,2000
Patient Zero,tt3458254,5.0,No,4.5,8598.0,2018
Deadpool 2,tt5463162,8.0,Yes,7.7,524952.0,2018
Raw,tt0091828,6.0,No,5.6,33225.0,1986
Littlest Reich,tt5685006,6.5,Yes,5.4,3767.0,2018
Jigsaw,tt3348730,2.0,No,5.8,75264.0,2017
The Endless,tt3986820,5.0,No,6.5,38930.0,2017
Happy Death Day,tt5308322,7.5,Yes,6.6,130072.0,2017
Hereditary,tt7784604,9.5,Yes,7.3,275208.0,2018
Isle of Dogs,tt5104604,8.0,Yes,7.9,154017.0,2018
The Shape of Water,tt5580390,7.5,Yes,7.3,396218.0,2017
Hold the Dark,tt5057140,5.0,Yes,5.6,35553.0,2018
A Star is Born,tt1517451,9.0,Yes,7.6,359014.0,2018
You Were Never Really Here,tt5742374,5.0,No,6.8,112933.0,2017
Outlaw King,tt6679794,7.5,Yes,6.9,66396.0,2018
The Christmas Chronicles,tt11057644,8.0,Yes,6.0,25235.0,2020
Bohemian Rhapsody,tt1727824,8.0,Yes,7.9,493614.0,2018
Bandersnatch,tt9495224,9.6,Yes,7.1,120571.0,2018
Bird Box,tt2737304,7.5,Yes,6.6,308156.0,2018
Polar,tt0338348,5.2,Yes,6.6,189009.0,2004
Alita Battle Angel,tt0437086,8.6,Yes,7.3,249679.0,2019
Triple Frontier,tt1488606,4.7,No,6.4,118574.0,2019
The Dirt,tt0800325,6.9,Yes,7.0,44481.0,2019
The Highwaymen,tt1860242,3.0,No,6.9,84477.0,2019
The Silence,tt7315484,0.9,No,5.3,42260.0,2019
Avengers: Endgame,tt4154796,9.7,Yes,8.4,959049.0,2019
Pet Sematary,tt0098084,4.6,No,6.6,99519.0,1989
The Perfection,tt7772580,6.0,Yes,6.2,40046.0,2018
Bad Times at the El Royale,tt6628394,7.4,Yes,7.1,139629.0,2018
Rocketman ,tt2066051,9.3,Yes,7.3,160517.0,2019
Gone Baby Gone,tt0452623,8.0,Yes,7.6,263789.0,2007
Ad Astra,tt2935510,6.8,Yes,6.5,217104.0,2019
Joker,tt7286456,9.6,Yes,8.4,1092746.0,2019
El Camino,tt12481806,6.1,Yes,5.2,474.0,2020
Midsomer,tt0647495,3.2,No,7.5,620.0,2005
The King,tt1038685,7.7,Yes,3.0,4257.0,2010
Midnight Family,tt6010976,6.1,Yes,7.4,1688.0,2019
The Hunt,tt8244784,3.5,No,6.5,91807.0,2020
The Invisible Man,tt1051906,8.1,Yes,7.1,198016.0,2020
The Platform,tt2382011,7.4,Yes,6.3,23.0,2019
Edward Scissorhands,tt0099487,5.8,No,7.9,465617.0,1990
The Gentlemen,tt8367814,7.8,Yes,7.8,286571.0,2019
Kung Fu Hustle,tt0373074,8.9,Yes,7.7,133738.0,2004
Starship Troopers,tt0120201,9.4,Yes,7.2,281296.0,1997
Signs,tt0286106,6.6,Yes,6.7,350343.0,2002
21 Jump Street,tt1232829,8.0,Yes,7.2,531201.0,2012
Extraction,tt8936646,6.1,Yes,6.7,182370.0,2020
A Bronx Tale,tt0106489,8.6,Yes,7.8,134945.0,1993
Jumanji,tt7975244,9.7,Yes,6.7,219592.0,2019
Jumanji: Welcome to the Jungle,tt2283362,5.9,Yes,6.9,348629.0,2017
Jumanji: Next Level,tt7975244,3.0,No,6.7,219592.0,2019
Ready or Not,tt7798634,4.4,No,6.9,131169.0,2019
Crawl,tt8364368,7.5,Yes,6.1,78671.0,2019
Eurovision Song Contest: The Story of Fire Saga,tt8580274,5.3,Yes,6.5,87008.0,2020
The Old Guard,tt7556122,6.0,Yes,6.7,148395.0,2020
Scary Stories to Tell in the Dark,tt3387520,6.2,Yes,6.2,70031.0,2019
Palm Springs,tt9484998,8.9,Yes,7.4,135638.0,2020
Beverly Hills Ninja,tt0118708,8.6,Yes,5.6,40573.0,1997
The Girl Next Door,tt0265208,7.3,No,6.7,216487.0,2004
Talladega Nights: The Ballad of Ricky Bobby,tt0415306,8.9,Yes,6.6,176159.0,2006
Air Force One,tt0118571,,,6.5,188752.0,1997
