movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count
Zoolander 2,7.0,Yes,329833,tt1608290,50000000,Comedy,,15.149,55969000,100,4.8,1784
Dope,8.5,Yes,308639,tt3850214,700000,Crime,Drama,8.327,17986781,103,7.1,1188
The Big Short,8.0,Yes,318846,tt1596363,28000000,Comedy,Drama,24.543,133346506,131,7.3,7002
Deadpool,10.0,Yes,293660,tt1431045,58000000,Action,Adventure,157.204,783100000,108,7.6,25759
The Martian,8.0,Yes,286217,tt3659388,108000000,Drama,Adventure,52.176,630161890,144,7.7,16263
Hardcore Henry,7.5,Yes,325348,tt3072482,10000000,Action,Adventure,30.157,14333790,97,6.3,1813
San Andreas,4.0,No,254128,tt2126355,110000000,Action,Drama,103.937,473990832,114,6.2,6880
Terminator,10.0,No,534,tt0438488,200000000,Action,Science Fiction,122.126,371353001,115,6.0,5125
Captain America: Civil War,8.0,Yes,271110,tt3498820,250000000,Adventure,Action,119.978,1153296293,147,7.4,18831
All the Way,9.5,Yes,9279,tt0116705,60000000,Comedy,Family,32.532,129832389,89,6.0,1918
The Man from U.N.C.L.E.,7.5,Yes,203801,tt1638355,75000000,Comedy,Action,21.742,108145109,116,7.1,5018
Chef,9.0,Yes,212778,tt2883512,11000000,Comedy,,19.045,45967935,114,7.1,2535
Independence Day: Resurgence,3.0,Yes,47933,tt1628841,165000000,Action,Adventure,70.099,389681935,120,5.2,5054
Suicide Squad,4.0,Yes,436969,tt6334354,180000000,Action,Adventure,705.721,167381210,132,7.8,4742
Steve Jobs,7.5,Yes,321697,tt2080374,30000000,Drama,History,13.549,34441873,122,6.8,3459
Tickled,8.0,Yes,373072,tt5278506,0,Documentary,,6.168,923000,92,7.3,298
Arrival,8.5,Yes,329865,tt2543164,47000000,Drama,Science Fiction,52.475,203388186,116,7.6,14368
The Jungle Book,9.5,Yes,9325,tt0061852,4000000,Family,Animation,60.791,205843612,78,7.3,5045
Why Him,8.0,Yes,356305,tt4501244,38000000,Comedy,,27.077,118102725,111,6.3,3401
Office Christmas Party,7.0,Yes,384682,tt1711525,45000000,Comedy,,14.027,114501299,105,5.6,1642
Assassin's Creed,1.5,No,121856,tt2094766,125000000,Action,Adventure,28.975,240697856,115,5.4,6558
Sing,6.0,Yes,335797,tt3470600,75000000,Family,Animation,161.073,634151679,108,7.1,6290
Hell or High Water,7.0,Yes,338766,tt2582782,12000000,Western,Crime,25.701,37589296,102,7.3,3511
Logan,9.0,Yes,263115,tt3315342,97000000,Action,Drama,70.541,619021436,137,7.8,16205
Alien: Covenant,8.0,Yes,126889,tt2316204,97000000,Horror,Science Fiction,71.443,232380243,122,6.0,6758
Spider-Man: Homecoming,7.0,Yes,315635,tt2250912,175000000,Action,Adventure,278.068,880166924,133,7.4,17097
The Belko Experiment,7.0,Yes,341006,tt1082807,5000000,Horror,Action,17.344,10166820,89,6.1,1085
"Guardians of the Galaxy, Vol. 2",4.5,No,283995,tt3896198,200000000,Adventure,Action,98.911,863756051,137,7.6,17375
Get Out,9.5,Yes,419430,tt5052448,4500000,Mystery,Thriller,39.973,255407969,104,7.6,13435
Don't Breathe,8.0,Yes,482373,tt6246322,10000000,Thriller,Horror,317.258,45000000,98,7.6,1145
Hannah,8.5,Yes,18126,tt1114677,35000000,Comedy,Drama,46.096,155545279,102,6.6,1665
Dunkirk,8.5,Yes,374720,tt5013056,100000000,War,Action,28.198,527000000,107,7.5,13403
Fantastic Beasts and Where to Find Them,7.0,Yes,259316,tt3183660,180000000,Adventure,Fantasy,77.928,809342332,132,7.4,15787
Life,3.0,No,9487,tt0120623,120000000,Adventure,Animation,76.236,363258859,95,7.0,7283
Imperium,7.0,Yes,374617,tt4781612,0,Crime,Drama,21.41,35000,109,6.5,1028
Death Note,0.5,No,351460,tt1241317,40000000,Fantasy,Thriller,38.145,0,101,4.2,3344
Little Evil,7.0,Yes,346671,tt2937366,0,Comedy,Horror,9.011,0,94,5.6,741
Gerald's Game,7.5,Yes,343674,tt3748172,0,Horror,Thriller,22.968,0,104,6.4,2814
The Meyerowitz Stories,6.0,No,396398,tt5536736,0,Comedy,Drama,9.824,0,112,6.4,895
